CITY,LATITUDE,LONGITUDE,perc_delay
Harlingen,26.22851,-97.65439,0.3666
Harrisburg,40.1935,-76.7634,0.3312
Hattiesburg-Laurel,31.46715,-89.33706,0.3440
Hayden,40.48118,-107.21766,0.3761
Hays,38.84494,-99.27403,0.2567
Helena,46.60682,-111.98275,0.2674
Hibbing,47.3866,-92.83899,0.3025
Hilo,19.72026,-155.04847,0.3790
Hobbs,32.68753,-103.21703,0.3395
Honolulu,21.31869,-157.92241,0.4288
Houston,29.64542,-95.27889,1.0000
Houston,29.98047,-95.33972,0.5053
Huntsville,34.64045,-86.77311,0.3420
Hyannis,41.66934,-70.28036,0.3580
Idaho Falls,43.51456,-112.07017,0.3306
Indianapolis,39.71733,-86.29438,0.3666
International Falls,48.56619,-93.40307,0.2222
Iron Mountain/Kingsford,45.81835,-88.11454,0.1885
Islip,40.79524,-73.10021,0.4219
Ithaca,42.49103,-76.45844,0.4194
Jackson,32.31117,-90.07589,0.5699
Jackson,43.60732,-110.73774,1.0000
Jacksonville,30.49406,-81.68786,0.4282
Jacksonville,34.82916,-77.61214,1.0000
Jamestown,46.92972,-98.6782,0.3669
Joplin,37.15181,-94.49827,0.4031
Juneau,58.35496,-134.57628,0.3742
Kahului,20.89865,-156.43046,0.3934
Kailua/Kona,19.73877,-156.04563,0.3526
Kalamazoo,42.23488,-85.55206,0.2949
Kalispell,48.3114,-114.25507,0.3555
Kansas City,39.29761,-94.71391,0.3891
Ketchikan,55.35557,-131.71374,0.4058
Key West,24.55611,-81.75956,0.3101
Killeen,31.0649,-97.8278,0.3639
King Salmon,58.6768,-156.64922,0.4127
Knoxville,35.81249,-83.99286,0.4503
Kodiak,57.74997,-152.49386,0.2975
Kotzebue,66.88468,-162.59855,0.3856
La Crosse,43.87938,-91.25654,0.3011
Lafayette,30.20528,-91.98766,0.3843
Lake Charles,30.1261,-93.2234,0.3224
Lansing,42.7787,-84.58736,0.3417
Laramie,41.31205,-105.67499,0.2401
Laredo,27.54374,-99.46154,0.3594
Las Vegas,36.08036,-115.15233,0.3673
Latrobe,40.27594,-79.4048,0.4250
Lawton,34.56771,-98.41664,0.3788
Lewiston,46.3745,-117.01539,0.1877
Lexington,38.03697,-84.60539,0.3490
Lihue,21.97598,-159.33896,0.3629
Lincoln,40.85097,-96.75925,0.4274
Little Rock,34.7294,-92.22425,0.4061
Long Beach,33.81772,-118.15161,0.3522
Longview,32.38486,-94.71171,0.3718
Los Angeles,33.94254,-118.40807,0.4267
Louisville,38.17439,-85.736,0.3803
Lubbock,33.66364,-101.82278,0.4383
Madison,43.13986,-89.33751,0.3435
Mammoth Lakes,37.62405,-118.83777,0.3929
Manchester,42.93452,-71.43706,0.4031
Manhattan,39.14097,-96.67083,0.3601
Marquette,46.35364,-87.39536,0.4020
Marthas Vineyard,41.39303,-70.61433,0.2878
McAllen,26.17583,-98.23861,0.3779
Medford,42.37423,-122.8735,0.3645
Melbourne,28.10275,-80.64581,0.3225
Memphis,35.04242,-89.97667,0.3829
Meridian,32.33313,-88.75121,0.3785
Miami,25.79325,-80.29056,0.3952
Midland,31.94253,-102.20191,0.4257
Milwaukee,42.94722,-87.89658,0.3539
Minneapolis,44.88055,-93.21692,0.3572
Minot,48.25938,-101.28033,0.3962
Missoula,46.91631,-114.09056,0.3092
Moab,38.75496,-109.75484,0.1317
Mobile,30.69142,-88.24283,0.4260
Moline,41.44853,-90.50754,0.4179
Monroe,32.51087,-92.03769,0.3721
Monterey,36.58698,-121.84295,0.3818
Montgomery,32.30064,-86.39398,0.4095
Montrose,38.50887,-107.89383,0.4646
Mosinee,44.77762,-89.66678,0.4037
Muskegon,43.16949,-86.23822,0.3404
Myrtle Beach,33.67975,-78.92833,0.4049
Nantucket,41.25305,-70.06018,0.3121
Nashville,36.12448,-86.67818,0.3659
New Bern,35.07297,-77.04294,0.4504
New Orleans,29.99339,-90.25803,0.3587
New York,40.63975,-73.77893,0.8095
New York,40.77724,-73.87261,0.7843
Newark,40.6925,-74.16866,0.3799
Newburgh,41.50409,-74.10484,0.4000
Newport News,37.1319,-76.49299,0.4147
Niagara Falls,43.10726,-78.94538,0.4601
Nome,64.5122,-165.44525,0.4617
Norfolk,36.89461,-76.20122,0.3941
North Bend,43.41714,-124.24603,0.5038
Oakland,37.72129,-122.22072,0.3860
Oklahoma City,35.39309,-97.60073,0.4114
Omaha,41.30252,-95.89417,0.3811
Ontario,34.056,-117.60119,0.4072
Orlando,28.42889,-81.31603,0.3803
Paducah,37.06083,-88.77375,0.3782
Pago Pago,14.33102,-170.71053,0.3832
Palm Springs,33.82922,-116.50625,0.3885
Pasco,46.26468,-119.11903,0.3668
Pellston,45.57093,-84.79672,0.3393
Pensacola,30.47331,-87.18744,0.3876
Peoria,40.66424,-89.69331,0.3590
Petersburg,56.80165,-132.94528,0.4242
Philadelphia,39.87195,-75.24114,0.3806
Phoenix,33.43417,-112.00806,0.3757
Pittsburgh,40.49147,-80.23287,0.3640
Pocatello,42.91131,-112.59586,0.3338
Ponce,18.0083,-66.56301,0.4939
Portland,43.64617,-70.30875,1.0000
Portland,45.58872,-122.5975,0.3704
Providence,41.724,-71.42822,0.3948
Pueblo,38.28909,-104.49657,0.2549
Raleigh,35.87764,-78.78747,0.3830
Rapid City,44.04532,-103.05737,0.3849
Redding,40.50898,-122.2934,0.4008
Redmond,44.25407,-121.14996,0.3306
Reno,39.49858,-119.76806,0.3823
Rhinelander,45.63119,-89.46745,0.2740
Richmond,37.50517,-77.31967,0.3939
Roanoke,37.32547,-79.97543,0.4006
Rochester,43.11887,-77.67238,0.4449
Rochester,43.90883,-92.49799,1.0000
Rock Springs,41.59422,-109.06519,0.2451
Roswell,33.30156,-104.53056,0.3526
Sacramento,38.69542,-121.59077,0.3972
Saginaw,43.53291,-84.07965,0.3718
Salt Lake City,40.78839,-111.97777,0.3004
San Angelo,31.35775,-100.49631,0.3509
San Antonio,29.53369,-98.46978,0.4079
San Diego,32.73356,-117.18966,0.3872
San Diego,33.12723,-117.27873,1.0000
San Francisco,37.619,-122.37484,0.3841
San Jose,37.36186,-121.92901,0.3843
San Juan,18.43942,-66.00183,0.4236
San Luis Obispo,35.23706,-120.64239,0.3449
Santa Ana,33.67566,-117.86822,0.3587
Santa Barbara,34.42621,-119.84037,0.3551
Santa Fe,35.61678,-106.08814,0.3776
Santa Maria,34.89925,-120.45758,0.2822
Sarasota,27.39533,-82.55411,0.3300
Sault Ste. Marie,46.25075,-84.47239,0.3540
Savannah,32.12758,-81.20214,0.3741
Seattle,47.44898,-122.30931,0.3669
Shreveport,32.44663,-93.8256,0.3969
Sioux City,42.4026,-96.38437,0.3266
Sioux Falls,43.58135,-96.7417,0.4450
Sitka,57.04714,-135.3616,0.3585
South Bend,41.70895,-86.31847,0.3768
Spokane,47.61986,-117.53384,0.3685
Springfield,37.24433,-93.38686,0.5184
Springfield,39.84395,-89.67762,1.0000
St Cloud,45.54532,-94.05834,0.6234
St George,37.09058,-113.59306,0.4676
St Louis,38.74769,-90.35999,0.3632
State College,40.85121,-77.8463,0.4552
Syracuse,43.11119,-76.10631,0.3845
Tallahassee,30.39653,-84.35033,0.3538
Tampa,27.97547,-82.53325,0.3655
Texarkana,33.45371,-93.99102,0.3847
Toledo,41.58681,-83.80783,0.2697
Traverse City,44.74144,-85.58224,0.3188
Trenton,40.27669,-74.81347,0.4850
Tucson,32.11608,-110.94103,0.4081
Tulsa,36.19837,-95.88824,0.4073
Twin Falls,42.4818,-114.48774,0.4181
Tyler,32.35414,-95.40239,0.4002
Valdosta,30.7825,-83.27672,0.4180
Valparaiso,30.48325,-86.5254,0.3801
Vernal,40.4409,-109.50992,0.0964
Waco,31.61129,-97.23052,0.4192
Waterloo,42.55708,-92.40034,0.3607
West Palm Beach,26.68316,-80.09559,0.4052
West Yellowstone,44.6884,-111.11764,0.5749
White Plains,41.06696,-73.70757,0.4096
Wichita,37.64996,-97.43305,0.4099
Wichita Falls,33.9888,-98.49189,0.3521
Wilkes-Barre/Scranton,41.33815,-75.72427,0.4551
Williston,48.17794,-103.64235,0.3353
Wilmington,34.27061,-77.90256,0.3734
Wilmington,39.67872,-75.60653,1.0000
Windsor Locks,41.93887,-72.68323,0.3918
Worcester,42.26734,-71.87571,0.2862
Wrangell,56.48433,-132.36982,0.3972
Yakutat,59.50336,-139.66023,0.3436
Yuma,32.65658,-114.60597,0.3648
