1,AA,43074
1,AS,13151
1,B6,20482
1,DL,63676
1,EV,48084
1,F9,6735
1,HA,6408
1,MQ,27568
1,NK,8632
1,OO,46655
1,UA,37363
1,US,32478
1,VX,4647
1,WN,98060
2,AA,37180
2,AS,12028
2,B6,18383
2,DL,59070
2,EV,42005
2,F9,5691
2,HA,5773
2,MQ,22992
2,NK,7813
2,OO,42449
2,UA,35172
2,US,28509
2,VX,4054
2,WN,86544
3,AA,44440
3,AS,14196
3,B6,22027
3,DL,73507
3,EV,51875
3,F9,6880
3,HA,6294
3,MQ,26062
3,NK,9254
3,OO,49435
3,UA,42871
3,US,33647
3,VX,4796
3,WN,106854
4,AA,44179
4,AS,13885
4,B6,21815
4,DL,71896
4,EV,48135
4,F9,7092
4,HA,6079
4,MQ,24728
4,NK,9415
4,OO,48495
4,UA,40865
4,US,32251
4,VX,4896
4,WN,105520
5,AA,43611
5,AS,14605
5,B6,22352
5,DL,74471
5,EV,47938
5,F9,8075
5,HA,6418
5,MQ,24405
5,NK,9800
5,OO,49128
5,UA,43864
5,US,33449
5,VX,5195
5,WN,106330
6,AA,43614
6,AS,14985
6,B6,22246
6,DL,76760
6,EV,47154
6,F9,7814
6,HA,6663
6,MQ,23991
6,NK,9325
6,OO,49058
6,UA,44745
6,US,33889
6,VX,5227
6,WN,107376
7,AA,80650
7,AS,15731
7,B6,23747
7,DL,80386
7,EV,49321
7,F9,8038
7,HA,6936
7,MQ,24047
7,NK,10202
7,OO,51658
7,UA,45873
7,VX,5384
7,WN,112411
8,AA,78708
8,AS,16031
8,B6,23506
8,DL,80675
8,EV,47668
8,F9,8103
8,HA,6850
8,MQ,23116
8,NK,10227
8,OO,51786
8,UA,44941
8,VX,5658
8,WN,106687
9,AA,72888
9,AS,14232
9,B6,21007
9,DL,71950
9,EV,43367
9,F9,7846
9,HA,6127
9,MQ,20799
9,NK,9868
9,OO,47207
9,UA,41602
9,VX,5141
9,WN,100119
10,AA,76381
10,AS,14414
10,B6,21738
10,DL,75458
10,EV,45131
10,F9,8085
10,HA,6226
10,MQ,21661
10,NK,10134
10,OO,48486
10,UA,45676
10,VX,5435
10,WN,104053
11,AA,73132
11,AS,13871
11,B6,21542
11,DL,72138
11,EV,41644
11,F9,7713
11,HA,6012
11,MQ,19331
11,NK,10050
11,OO,46473
11,UA,42236
11,VX,5345
11,WN,102880
12,AA,75078
12,AS,14310
12,B6,23197
12,DL,70288
12,EV,42430
12,F9,8018
12,HA,6255
12,MQ,20091
12,NK,10473
12,OO,45984
12,UA,42554
12,VX,5470
12,WN,105569
